Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
1,accountant,accountant,accountant,accountant,unsure,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,unsure,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accoutaunt
2,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
3,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,chief,assistant,assistant,assistant,chief,assistant,assistant,assistant,assistant,assistant,chief,assistant,chief,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
4,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
5,teacher,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,teacher,teacher,carpenter,carpenter,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,teacher,carpenter,teacher,political,carpenter,carpenter,teacher,carpenter
6,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,unsure,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,political,lawyer,lawyer,lawyer,lawyer,lawyer
7,assistant,unemployed,unemployed,unsure,unemployed,assistant,assistant,assistant,unemployed,assistant,unemployed,assistant,lawyer,assistant,unemployed,assistant,assistant,assistant,lawyer,assistant,unemployed,lawyer,lawyer,assistant,assistant,assistant,assistant,assistant,assistant,assistant,unemployed,unemployed,unemployed
8,laborer,laborer,unsure,laborer,unsure,laborer,designer,unsure,unsure,laborer,unsure,unsure,unsure,unsure,unsure,laborer,unsure,laborer,unsure,laborer,unsure,laborer,laborer,laborer,unsure,designer,designer,political,unsure,unsure,unsure,laborer,unsure
9,designer,designer,laborer,designer,laborer,designer,designer,designer,dry,designer,laborer,designer,laborer,designer,unsure,designer,designer,designer,laborer,designer,laborer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,laborer
10,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,knowledgeable,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,tough,cook
11,clerk,clerk,clerk,clerk,cook,cook,clerk,clerk,cook,unsure,cook,cook,cook,clerk,cook,cook,cook,clerk,cook,clerk,clerk,clerk,clerk,clerk,clerk,unclear,clerk,clerk,clerk,unsure,clerk,clerk,cook
12,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
13,cashier,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst
14,guard,guard,guard,guard,writer,guard,guard,unsure,writer,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,guard,writer,guard,guard,unsure,writer,writer,writer,writer,guard,writer,guard,guard
15,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,guard,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
16,lawyer,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper
17,housekeeper,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,housekeeper
