Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
1,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,unsure,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
2,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,unsure,the,chief,chief,chief
3,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,chief,assistant,assistant,assistant,unsure,assistant,'assistant',assistant,assistant,assistant,chief,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
4,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,she,carpenter,carpenter
5,teacher,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter
6,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,the,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,large,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
7,assistant,assistant,unemployed,assistant,lawyer,assistant,assistant,assistant,lawyer,assistant,unemployed,unemployed,lawyer,assistant,lawyer,unemployed,unemployed,lawyer,lawyer,blond,unemployed,assistant,lawyer,assistant,assistant,assistant,unemployed,unemployed,assistant,assistant,assistant,unemployed,lawyer
8,laborer,laborer,unsure,laborer,unsure,laborer,designer,unsure,unsure,laborer,unsure,hard,unsure,laborer,unsure,unsure,unsure,laborer,unsure,laborer,she,laborer,laborer,laborer,unsure,laborer,unsure,unsure,unsure,laborer,unsure,laborer,unsure
9,designer,designer,designer,designer,laborer,designer,designer,designer,designer,designer,laborer,designer,unsure,designer,laborer,designer,designer,designer,laborer,designer,designer,laborer,laborer,designer,designer,designer,designer,designer,designer,designer,designer,designer,laborer
10,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,the,cook,cook,cook,the,cook,cook,cook
