Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
1,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
2,chief,chief,chief,chief,chief,chief,chief,chief,chief,the,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,political,political,chief,chief,chief,chief
3,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,chief,assistant,assistant,assistant,chief,assistant,assistant,assistant,assistant,assistant,chief,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
4,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
5,teacher,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,unsure,carpenter,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,teacher,carpenter,teacher,carpenter,teacher,teacher,carpenter,carpenter,teacher,carpenter
6,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,political,lawyer,lawyer,lawyer,lawyer,lawyer
7,assistant,unsure,unemployed,assistant,unsure,assistant,unemployed,assistant,unemployed,assistant,lawyer,assistant,unemployed,assistant,lawyer,assistant,lawyer,assistant,lawyer,assistant,lawyer,assistant,lawyer,assistant,unemployed,assistant,assistant,assistant,assistant,assistant,assistant,assistant,unemployed
8,laborer,laborer,laborer,arrogant,unsure,laborer,unsure,unsure,unsure,laborer,unsure,unsure,unsure,intelligent,unsure,unsure,unsure,laborer,unsure,unsure,she,laborer,laborer,laborer,laborer,disorganized,unsure,unsure,unsure,laborer,unsure,laborer,laborer
9,designer,designer,designer,designer,laborer,designer,designer,designer,designer,designer,laborer,designer,laborer,designer,designer,designer,designer,designer,laborer,designer,designer,designer,laborer,designer,designer,designer,laborer,designer,designer,designer,designer,designer,designer
10,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,hard,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,old,cook,the,the,cook,cook,cook,unsure,cook,cook
