Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
1,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant,accountant
2,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
3,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,chief,assistant,assistant,assistant,chief,assistant,assistant,assistant,assistant,assistant,chief,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant,assistant
4,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,teacher,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
5,teacher,teacher,carpenter,teacher,carpenter,teacher,he,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter,carpenter,carpenter,teacher,old,teacher,carpenter,teacher,carpenter,teacher,carpenter,teacher,carpenter
6,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,unsure,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
7,assistant,assistant,lawyer,assistant,lawyer,assistant,unemployed,assistant,lawyer,assistant,lawyer,unemployed,lawyer,assistant,unemployed,unemployed,assistant,assistant,unemployed,assistant,unemployed,assistant,lawyer,assistant,unemployed,assistant,assistant,assistant,unemployed,assistant,unemployed,assistant,unemployed
8,laborer,laborer,unsure,laborer,unsure,unsure,unsure,unsure,unsure,laborer,unsure,hard,unsure,unsure,unsure,laborer,unsure,laborer,unsure,unsure,unsure,laborer,unsure,laborer,unsure,unorganized,unsure,unsure,unsure,laborer,unsure,laborer,unsure
9,designer,laborer,designer,designer,laborer,designer,laborer,designer,laborer,designer,laborer,designer,laborer,designer,laborer,designer,designer,designer,laborer,designer,designer,designer,laborer,designer,designer,designer,laborer,designer,designer,designer,designer,designer,laborer
10,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,hard,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
11,clerk,clerk,clerk,clerk,cook,cook,cook,clerk,cook,clerk,cook,cook,cook,clerk,cook,clerk,cook,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,cook,organ-ized,clerk,clerk,cook,clerk,clerk,cook
12,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,practical,analyst,analyst
13,cashier,cashier,analyst,cashier,cashier,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst,cashier,analyst
14,guard,guard,guard,guard,guard,guard,writer,dry,writer,writer,guard,guard,writer,guard,writer,guard,guard,guard,guard,guard,writer,guard,guard,old,writer,guard,writer,guard,writer,guard,guard,guard,guard
15,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,unclear,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,unknown,writer,writer,writer,writer,writer,writer,writer,writer,writer
16,lawyer,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper
17,housekeeper,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,lawyer,housekeeper,lawyer,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
